"Site","LC_Fluxnet","lon","lat","LC_MCD12Q1","ENF","EBF","DNF","DBF","MF","CSH","OSH","WSA","SAV","GRA","WET","CRO","URB","CVM","SNO","BSV","WAT"
"AR-SLu","MF",-66.4598,-33.4648,"OSH",0,0,0,0,0,0.00173611111111111,57.203125,0.00520833333333333,3.23090277777778,30.0208333333333,0.0885416666666667,8.10416666666667,0.694444444444444,0.00347222222222222,0,0.185763888888889,0.461805555555556
"AR-Vir","ENF",-56.1886,-28.2395,"EBF",0.0572916666666667,9.80729166666667,0,0.0104166666666667,0,0,0,1.36805555555556,74.5885416666667,3.45138888888889,0.550347222222222,7.86458333333333,0.395833333333333,0.857638888888889,0,0,1.04861111111111
"AT-Neu","GRA",11.3175,47.1167,"GRA",9.98090277777778,0,0,0.111111111111111,24.5677083333333,0,0.00347222222222222,19.3940972222222,10.8020833333333,29.1059027777778,0.142361111111111,1.18229166666667,1.96006944444444,0.369791666666667,0.140625,1.55381944444444,0.685763888888889
"AU-Ade","WSA",131.1178,-13.0769,"GRA",0,0.0260416666666667,0,0.03125,0.147569444444444,0.00173611111111111,1.06076388888889,0.015625,6.84895833333333,91.8628472222222,0.00173611111111111,0.00173611111111111,0,0,0,0,0.00173611111111111
"AU-ASM","SAV",133.249,-22.283,"OSH",0,0,0,0,0,10.4809027777778,88.0486111111111,0,0,1.47048611111111,0,0,0,0,0,0,0
"AU-Cpr","SAV",140.5891,-34.0021,"OSH",0,0,0,0,0,6.92013888888889,21.8611111111111,0.178819444444444,29.2326388888889,40.6996527777778,0,0.475694444444444,0.163194444444444,0,0,0.114583333333333,0.354166666666667
"AU-Cum","EBF",150.7236,-33.6152,"EBF",2.07986111111111,35.3350694444444,0,0,0.0104166666666667,0.0225694444444444,0.0243055555555556,12.3420138888889,8.18402777777778,18.5868055555556,0.210069444444444,0.0190972222222222,11.2326388888889,0,0,0.0138888888888889,11.9392361111111
"AU-DaP","GRA",131.3181,-14.0633,"GRA",0,0,0,0.00347222222222222,0.0104166666666667,0,9.25694444444444,0.00694444444444444,0.119791666666667,90.6024305555556,0,0,0,0,0,0,0
"AU-DaS","SAV",131.3881,-14.1593,"GRA",0,0,0,0.00347222222222222,0.0104166666666667,0,9.25694444444444,0.00694444444444444,0.119791666666667,90.6024305555556,0,0,0,0,0,0,0
"AU-Dry","SAV",132.3706,-15.2588,"GRA",0,0,0,0,0,0,1.84895833333333,0,0.704861111111111,97.4288194444444,0,0.0173611111111111,0,0,0,0,0
"AU-Emr","GRA",148.4746,-23.8587,"GRA",0.00173611111111111,0.0138888888888889,0,0,0,4.65972222222222,28.9305555555556,0.0208333333333333,3.296875,61.8420138888889,0.0989583333333333,0.579861111111111,0.163194444444444,0,0,0.0746527777777778,0.317708333333333
"AU-Fog","WET",131.3072,-12.5452,"GRA",0,0.00868055555555556,0,0,0,0,0,0,33.6996527777778,40.9496527777778,2.04340277777778,0.0121527777777778,0,0,0,0.111111111111111,23.1753472222222
"AU-Gin","WSA",115.7138,-31.3764,"SAV",0.0763888888888889,0.131944444444444,0,0,0,0.25,0.439236111111111,12.0711805555556,13.2760416666667,12.8541666666667,0.0381944444444444,1.53298611111111,4.99131944444444,0,0,0.00520833333333333,54.3333333333333
"AU-GWW","SAV",120.6541,-30.1913,"SAV",0,0,0,0,0,33.9479166666667,39.6597222222222,0.015625,25.140625,0.329861111111111,0,0,0.579861111111111,0,0,0.289930555555556,0.0364583333333333
"AU-How","WSA",131.1523,-12.4943,"SAV",0,0.00868055555555556,0,0,0,0,0,0,33.6996527777778,40.9496527777778,2.04340277777778,0.0121527777777778,0,0,0,0.111111111111111,23.1753472222222
"AU-Lox","DBF",140.6551,-34.4704,"GRA",0,0,0,0,0,4.69791666666667,19.8020833333333,0.314236111111111,8.08333333333333,62.1944444444444,0,4.72569444444444,0.0225694444444444,0,0,0.0520833333333333,0.107638888888889
"AU-RDF","WSA",132.4776,-14.5636,"GRA",0,0,0,0,0,0,7.046875,0,0.869791666666667,92.0225694444444,0,0,0.0572916666666667,0,0,0.00347222222222222,0
"AU-Rig","GRA",145.5759,-36.6499,"CRO",0.567708333333333,6.265625,0,0.0225694444444444,1.28298611111111,0.015625,0.0555555555555556,1.23958333333333,3.36979166666667,34.8072916666667,0.0729166666666667,51.7048611111111,0.192708333333333,0,0,0.0659722222222222,0.336805555555556
"AU-Rob","EBF",145.6301,-17.1175,"EBF",0.00173611111111111,15.3680555555556,0,0,0,0.00173611111111111,0,0.425347222222222,3.62152777777778,3.11111111111111,1.01041666666667,4.15104166666667,0.118055555555556,0.875,0,0,71.3159722222222
"AU-Stp","GRA",133.3502,-17.1507,"GRA",0,0,0,0,0,1.35069444444444,4.60590277777778,0,0.194444444444444,93.8489583333333,0,0,0,0,0,0,0
"AU-TTE","GRA",133.64,-22.287,"OSH",0,0,0,0,0,10.4809027777778,88.0486111111111,0,0,1.47048611111111,0,0,0,0,0,0,0
"AU-Tum","EBF",148.1517,-35.6566,"ENF",25.1215277777778,3.27430555555556,0,0.119791666666667,0.673611111111111,0.0260416666666667,0.527777777777778,8.32118055555556,3.08159722222222,26.9114583333333,0.192708333333333,31.2326388888889,0.347222222222222,0,0,0.00694444444444444,0.163194444444444
"AU-Wac","EBF",145.1878,-37.4259,"EBF",7.93923611111111,48.0034722222222,0,0.402777777777778,3.90972222222222,0,0.0121527777777778,2.08680555555556,19.2361111111111,17.7517361111111,0.0954861111111111,0.276041666666667,0.118055555555556,0,0,0.00173611111111111,0.166666666666667
"AU-Whr","EBF",145.0294,-36.6732,"GRA",0.567708333333333,6.265625,0,0.0225694444444444,1.28298611111111,0.015625,0.0555555555555556,1.23958333333333,3.36979166666667,34.8072916666667,0.0729166666666667,51.7048611111111,0.192708333333333,0,0,0.0659722222222222,0.336805555555556
"AU-Wom","EBF",144.0944,-37.4222,"EBF",0.286458333333333,15.3784722222222,0,0.0121527777777778,0.539930555555556,0.0173611111111111,0.348958333333333,3.46527777777778,17.3663194444444,35.8368055555556,0.196180555555556,10.1666666666667,13.6145833333333,0,0,0.0173611111111111,2.75347222222222
"AU-Ync","GRA",146.2907,-34.9893,"GRA",0,0,0,0,0,0.00868055555555556,1.02777777777778,0.0173611111111111,0.0104166666666667,91.8125,0,7.10590277777778,0.00520833333333333,0,0,0.00868055555555556,0.00347222222222222
"BE-Bra","MF",4.5198,51.3076,"MF",0.100694444444444,0,0.00868055555555556,0.0694444444444444,1.796875,0,0,0.173611111111111,9.87326388888889,5.54166666666667,1.73958333333333,25.4131944444444,16.3072916666667,9.99479166666667,0,0.0260416666666667,28.9548611111111
"BE-Lon","CRO",4.7462,50.5516,"CRO",1.08680555555556,0,0,0.253472222222222,21.8524305555556,0,0,4.30381944444444,22.1493055555556,9.19965277777778,0.0590277777777778,25.6614583333333,8.64930555555556,6.75347222222222,0,0,0.03125
"BE-Vie","MF",5.9981,50.3049,"MF",1.08680555555556,0,0,0.253472222222222,21.8524305555556,0,0,4.30381944444444,22.1493055555556,9.19965277777778,0.0590277777777778,25.6614583333333,8.64930555555556,6.75347222222222,0,0,0.03125
"BR-Npw","WSA",-56.412,-16.498,"WSA",0,8.86284722222222,0,5.98090277777778,0.340277777777778,0,0,13.3038194444444,50.2465277777778,19.4895833333333,1.54861111111111,0.00868055555555556,0.140625,0,0,0,0.078125
"BR-Sa1","EBF",-54.9589,-2.8567,"EBF",0,26.3888888888889,0,0.0225694444444444,0,0.00173611111111111,0,13.9704861111111,9.87152777777778,8.58506944444444,13.6284722222222,0.015625,0.317708333333333,0,0,0.00173611111111111,27.1961805555556
"BR-Sa3","EBF",-54.9714,-3.018,"EBF",0,82.2447916666667,0,0.00520833333333333,0,0.0121527777777778,0,7.71180555555556,4.64236111111111,5.28819444444444,0.0138888888888889,0,0.00694444444444444,0,0,0,0.0746527777777778
"BW-Gum","WET",22.3711,-18.9647,"GRA",0.0104166666666667,0.00347222222222222,0,0,0,0.0642361111111111,3.01215277777778,0,0.800347222222222,90.4878472222222,5.60069444444444,0.00347222222222222,0.0173611111111111,0,0,0,0
"BW-Nxr","GRA",23.1792,-19.5481,"GRA",0.0277777777777778,0.00694444444444444,0,0.015625,0,0,27.2951388888889,0.00347222222222222,5.30208333333333,58.1041666666667,9.203125,0.0138888888888889,0.0277777777777778,0,0,0,0
"CA-Gro","MF",-82.1556,48.2167,"MF",15.1267361111111,0,0.0920138888888889,6.33333333333333,67.2447916666667,0,0.00520833333333333,9.43576388888889,0.222222222222222,1.00520833333333,0.142361111111111,0,0.0104166666666667,0,0,0,0.381944444444444
"CA-Man","ENF",-98.4808,55.8796,"WSA",20.5017361111111,0,0.0225694444444444,0,0.607638888888889,0,0.0138888888888889,63.5052083333333,0.220486111111111,0.078125,7.87326388888889,0,0.03125,0,0,0.0555555555555556,7.09027777777778
"CA-NS1","ENF",-98.4839,55.8792,"WSA",20.5017361111111,0,0.0225694444444444,0,0.607638888888889,0,0.0138888888888889,63.5052083333333,0.220486111111111,0.078125,7.87326388888889,0,0.03125,0,0,0.0555555555555556,7.09027777777778
"CA-NS2","ENF",-98.5247,55.9058,"ENF",20.5017361111111,0,0.0225694444444444,0,0.607638888888889,0,0.0138888888888889,63.5052083333333,0.220486111111111,0.078125,7.87326388888889,0,0.03125,0,0,0.0555555555555556,7.09027777777778
"CA-NS3","ENF",-98.3822,55.9117,"WSA",20.5017361111111,0,0.0225694444444444,0,0.607638888888889,0,0.0138888888888889,63.5052083333333,0.220486111111111,0.078125,7.87326388888889,0,0.03125,0,0,0.0555555555555556,7.09027777777778
"CA-NS4","ENF",-98.3806,55.9144,"WSA",20.5017361111111,0,0.0225694444444444,0,0.607638888888889,0,0.0138888888888889,63.5052083333333,0.220486111111111,0.078125,7.87326388888889,0,0.03125,0,0,0.0555555555555556,7.09027777777778
"CA-NS5","ENF",-98.485,55.8631,"WSA",20.5017361111111,0,0.0225694444444444,0,0.607638888888889,0,0.0138888888888889,63.5052083333333,0.220486111111111,0.078125,7.87326388888889,0,0.03125,0,0,0.0555555555555556,7.09027777777778
"CA-NS6","OSH",-98.9644,55.9167,"WSA",20.5017361111111,0,0.0225694444444444,0,0.607638888888889,0,0.0138888888888889,63.5052083333333,0.220486111111111,0.078125,7.87326388888889,0,0.03125,0,0,0.0555555555555556,7.09027777777778
"CA-NS7","OSH",-99.9483,56.6358,"WSA",6.30555555555556,0,0.00173611111111111,0,0.137152777777778,0,0.670138888888889,66.9079861111111,9.07291666666667,0.255208333333333,6.13715277777778,0,0,0,0,0.100694444444444,10.4114583333333
"CA-Oas","DBF",-106.1978,53.6289,"DBF",13.1111111111111,0,0.333333333333333,1.859375,13.2899305555556,0,0,23.1076388888889,0.241319444444444,5.08854166666667,1.23090277777778,38.8628472222222,0.015625,0.506944444444444,0,0.00520833333333333,2.34722222222222
"CA-Obs","ENF",-105.1178,53.9872,"ENF",11.9114583333333,0,0.0868055555555556,2.94965277777778,15.5868055555556,0,0,49.5277777777778,0.0815972222222222,2.72048611111111,1.015625,13.109375,0,0.361111111111111,0,0.00868055555555556,2.640625
"CA-Qfo","ENF",-74.3421,49.6925,"WSA",8.19618055555556,0,0,0.00347222222222222,9.34895833333333,0,1.71527777777778,69.2395833333333,0.967013888888889,0.564236111111111,5.67013888888889,0,0.0208333333333333,0,0,0.00173611111111111,4.27256944444444
"CA-SCB","WET",-121.2984,61.3089,"WSA",7.97743055555556,0,0.149305555555556,0.128472222222222,1.75868055555556,0,1.34375,70.6145833333333,8.22048611111111,5.98090277777778,0.657986111111111,0,0,0,0.0486111111111111,2.28472222222222,0.835069444444445
"CA-SCC","ENF",-121.2992,61.3079,"WSA",7.97743055555556,0,0.149305555555556,0.128472222222222,1.75868055555556,0,1.34375,70.6145833333333,8.22048611111111,5.98090277777778,0.657986111111111,0,0,0,0.0486111111111111,2.28472222222222,0.835069444444445
"CA-SF1","ENF",-105.8176,54.485,"WSA",30.6579861111111,0,0.147569444444444,0.822916666666667,6.74131944444444,0,0.015625,47.8854166666667,0.123263888888889,0.675347222222222,2.02083333333333,0,0,0,0,0.0416666666666667,10.8680555555556
"CA-SF2","ENF",-105.8775,54.2539,"ENF",30.6579861111111,0,0.147569444444444,0.822916666666667,6.74131944444444,0,0.015625,47.8854166666667,0.123263888888889,0.675347222222222,2.02083333333333,0,0,0,0,0.0416666666666667,10.8680555555556
"CA-SF3","OSH",-106.0053,54.0916,"ENF",24.4583333333333,0,0.102430555555556,2.35763888888889,18.2760416666667,0,0,45.046875,0.152777777777778,0.256944444444444,1.69097222222222,0,0,0,0,0.00694444444444444,7.65104166666667
"CA-TP1","ENF",-80.5595,42.6609,"CRO",0,0,0.00694444444444444,2.82638888888889,0.0798611111111111,0,0,5.17708333333333,1.18576388888889,1.57291666666667,1.03298611111111,32.6979166666667,1.98958333333333,1.49479166666667,0,0.0225694444444444,51.9131944444444
"CA-TP2","ENF",-80.4588,42.7744,"GRA",0,0,0.00694444444444444,2.82638888888889,0.0798611111111111,0,0,5.17708333333333,1.18576388888889,1.57291666666667,1.03298611111111,32.6979166666667,1.98958333333333,1.49479166666667,0,0.0225694444444444,51.9131944444444
"CA-TP3","ENF",-80.3483,42.7068,"MF",0,0,0.00694444444444444,2.82638888888889,0.0798611111111111,0,0,5.17708333333333,1.18576388888889,1.57291666666667,1.03298611111111,32.6979166666667,1.98958333333333,1.49479166666667,0,0.0225694444444444,51.9131944444444
"CA-TP4","ENF",-80.3574,42.7102,"MF",0,0,0.00694444444444444,2.82638888888889,0.0798611111111111,0,0,5.17708333333333,1.18576388888889,1.57291666666667,1.03298611111111,32.6979166666667,1.98958333333333,1.49479166666667,0,0.0225694444444444,51.9131944444444
"CA-TPD","DBF",-80.5577,42.6353,"DBF",0,0,0.00694444444444444,2.82638888888889,0.0798611111111111,0,0,5.17708333333333,1.18576388888889,1.57291666666667,1.03298611111111,32.6979166666667,1.98958333333333,1.49479166666667,0,0.0225694444444444,51.9131944444444
"CG-Tch","SAV",11.6564,-4.2892,"SAV",0,12.4236111111111,0,0,0,0.00173611111111111,0,15.5625,6.12847222222222,1.88541666666667,0.317708333333333,0.00173611111111111,1.00173611111111,0.0295138888888889,0,0.00694444444444444,62.640625
"CH-Cha","GRA",8.4104,47.2102,"SAV",1.75868055555556,0,0,2.44444444444444,22.0850694444444,0,0,8.69097222222222,24.5,10.4774305555556,0.354166666666667,12.6388888888889,8.17708333333333,7.71006944444444,0,0.0225694444444444,1.140625
"CH-Dav","ENF",9.8559,46.8153,"WSA",1.91666666666667,0,0.00173611111111111,8.63194444444444,11.4513888888889,0.0173611111111111,0.00173611111111111,17.3072916666667,6.16493055555556,45.1440972222222,0.307291666666667,0.133680555555556,0.734375,0.00173611111111111,0.576388888888889,6.53645833333333,1.07291666666667
"CH-Fru","GRA",8.5378,47.1158,"GRA",1.75868055555556,0,0,2.44444444444444,22.0850694444444,0,0,8.69097222222222,24.5,10.4774305555556,0.354166666666667,12.6388888888889,8.17708333333333,7.71006944444444,0,0.0225694444444444,1.140625
"CH-Lae","MF",8.3644,47.4783,"DBF",1.75868055555556,0,0,2.44444444444444,22.0850694444444,0,0,8.69097222222222,24.5,10.4774305555556,0.354166666666667,12.6388888888889,8.17708333333333,7.71006944444444,0,0.0225694444444444,1.140625
"CH-Oe1","GRA",7.7319,47.2858,"CRO",1.75868055555556,0,0,2.44444444444444,22.0850694444444,0,0,8.69097222222222,24.5,10.4774305555556,0.354166666666667,12.6388888888889,8.17708333333333,7.71006944444444,0,0.0225694444444444,1.140625
"CH-Oe2","CRO",7.7337,47.2864,"CRO",1.75868055555556,0,0,2.44444444444444,22.0850694444444,0,0,8.69097222222222,24.5,10.4774305555556,0.354166666666667,12.6388888888889,8.17708333333333,7.71006944444444,0,0.0225694444444444,1.140625
"CN-Cha","MF",128.0958,42.4025,"DBF",0.00520833333333333,0,0.0416666666666667,60.0364583333333,13.5833333333333,0,0,9.90798611111111,0.112847222222222,0.932291666666667,0.00868055555555556,11.8107638888889,1.73784722222222,1.82291666666667,0,0,0
"CN-Cng","GRA",123.5092,44.5934,"GRA",0,0,0,0,0,0,0,0,0,71.9965277777778,0.0260416666666667,26.7916666666667,0.385416666666667,0,0,0.527777777777778,0.272569444444444
"CN-Dan","GRA",91.0664,30.4978,"GRA",0,0,0,0,0,0,0,0,0,80.4236111111111,0.0225694444444444,0.0260416666666667,0,0,2.00868055555556,13.6128472222222,3.90625
"CN-Din","EBF",112.5361,23.1733,"EBF",0,28.6597222222222,0,0,0.0208333333333333,0,0,16.5190972222222,33.3680555555556,2.49652777777778,2.44444444444444,1.79166666666667,9.46701388888889,3.53125,0,0.0225694444444444,1.67881944444444
"CN-Du2","GRA",116.2836,42.0467,"GRA",0,0,0.00173611111111111,2.90798611111111,0.623263888888889,0,0,1.74305555555556,1.328125,88.7395833333333,0.0260416666666667,4.54861111111111,0.0590277777777778,0,0,0.0190972222222222,0.00347222222222222
"CN-Du3","GRA",116.2809,42.0551,"GRA",0,0,0.00173611111111111,2.90798611111111,0.623263888888889,0,0,1.74305555555556,1.328125,88.7395833333333,0.0260416666666667,4.54861111111111,0.0590277777777778,0,0,0.0190972222222222,0.00347222222222222
"CN-Ha2","WET",101.3269,37.6086,"GRA",0.0138888888888889,0,0,0.00520833333333333,0.0277777777777778,0,0,0.0572916666666667,0.180555555555556,83.1388888888889,0.223958333333333,8.390625,0.567708333333333,0,0.0815972222222222,5.38541666666667,1.92708333333333
"CN-HaM","GRA",101.18,37.37,"GRA",0.0138888888888889,0,0,0.00520833333333333,0.0277777777777778,0,0,0.0572916666666667,0.180555555555556,83.1388888888889,0.223958333333333,8.390625,0.567708333333333,0,0.0815972222222222,5.38541666666667,1.92708333333333
"CN-Hgu","GRA",102.59,32.8453,"GRA",0.230902777777778,0,0,0.505208333333333,8.34027777777778,0,0,7.87152777777778,22.5538194444444,59.9114583333333,0.00694444444444444,0.0138888888888889,0.0295138888888889,0,0.0104166666666667,0.526041666666667,0
"CN-Qia","ENF",115.0581,26.7414,"MF",4.79166666666667,19.0243055555556,0,0.0572916666666667,14.8194444444444,0,0,35.3402777777778,18.7760416666667,1.01041666666667,0.232638888888889,3.96006944444444,0.53125,1.05034722222222,0,0.00173611111111111,0.404513888888889
"CN-Sw2","GRA",111.8971,41.7902,"GRA",0,0,0,0,0,0,0,0,0,99.1041666666667,0,0.538194444444444,0.345486111111111,0,0,0.0121527777777778,0
"CZ-BK1","ENF",18.5369,49.5021,"ENF",5.02777777777778,0,0.0138888888888889,14.3871527777778,28.3993055555556,0,0,10.5503472222222,15.5590277777778,7.98611111111111,0.319444444444444,8.87326388888889,4.27256944444444,4.15798611111111,0,0,0.453125
"CZ-BK2","GRA",18.5429,49.4944,"MF",5.02777777777778,0,0.0138888888888889,14.3871527777778,28.3993055555556,0,0,10.5503472222222,15.5590277777778,7.98611111111111,0.319444444444444,8.87326388888889,4.27256944444444,4.15798611111111,0,0,0.453125
"CZ-wet","WET",14.7704,49.0247,"SAV",4.79166666666667,0,0,0.532986111111111,14.1927083333333,0,0,7.32986111111111,9.02083333333333,7.02256944444444,0.520833333333333,47.4184027777778,2.46875,6.67361111111111,0,0,0.0277777777777778
"DE-Akm","WET",13.6834,53.8662,"URB",7.79340277777778,0,0.0243055555555556,1.16319444444444,13.9409722222222,0,0,5.33506944444444,8.01215277777778,7.34375,1.109375,41.5555555555556,2.13020833333333,2.30729166666667,0,0.00347222222222222,9.28125
"DE-Dgw","WAT",13.0543,53.1514,"MF",9.80902777777778,0,0,0.362847222222222,10.203125,0,0,2.75173611111111,5.03645833333333,7.48263888888889,0.638888888888889,54.5711805555556,1.17881944444444,4.94965277777778,0,0,3.015625
"DE-Geb","CRO",10.9146,51.0997,"CRO",4.07118055555556,0,0,7.20138888888889,17.6875,0,0,3.08333333333333,5.390625,7.98263888888889,0.111111111111111,49.2048611111111,3.94270833333333,1.29861111111111,0,0,0.0260416666666667
"DE-Gri","GRA",13.5126,50.95,"SAV",9.72395833333333,0,0,4.02256944444444,17.6302083333333,0,0,6.80902777777778,11.5416666666667,9.46354166666667,0.201388888888889,30.5954861111111,7.32291666666667,2.62326388888889,0,0.00520833333333333,0.0607638888888889
"DE-Hai","DBF",10.4522,51.0792,"DBF",4.07118055555556,0,0,7.20138888888889,17.6875,0,0,3.08333333333333,5.390625,7.98263888888889,0.111111111111111,49.2048611111111,3.94270833333333,1.29861111111111,0,0,0.0260416666666667
"DE-Hte","WET",12.1761,54.2103,"SAV",0.371527777777778,0,0.0121527777777778,0.350694444444444,3.78645833333333,0,0,0.319444444444444,3.71354166666667,2.46527777777778,1.67708333333333,22.1944444444444,0.821180555555556,1.89236111111111,0,0,62.3958333333333
"DE-Kli","CRO",13.5224,50.8931,"CRO",9.72395833333333,0,0,4.02256944444444,17.6302083333333,0,0,6.80902777777778,11.5416666666667,9.46354166666667,0.201388888888889,30.5954861111111,7.32291666666667,2.62326388888889,0,0.00520833333333333,0.0607638888888889
"DE-Lkb","ENF",13.3047,49.0996,"SAV",15.5746527777778,0,0,0.550347222222222,23.3923611111111,0,0,6.47048611111111,13.2430555555556,7.67013888888889,0.0625,25.2517361111111,2.17708333333333,5.60763888888889,0,0,0
"DE-Lnf","DBF",10.3678,51.3282,"DBF",4.07118055555556,0,0,7.20138888888889,17.6875,0,0,3.08333333333333,5.390625,7.98263888888889,0.111111111111111,49.2048611111111,3.94270833333333,1.29861111111111,0,0,0.0260416666666667
"DE-Obe","ENF",13.7213,50.7867,"ENF",9.72395833333333,0,0,4.02256944444444,17.6302083333333,0,0,6.80902777777778,11.5416666666667,9.46354166666667,0.201388888888889,30.5954861111111,7.32291666666667,2.62326388888889,0,0.00520833333333333,0.0607638888888889
"DE-RuR","GRA",6.3041,50.6219,"SAV",1.08680555555556,0,0,0.253472222222222,21.8524305555556,0,0,4.30381944444444,22.1493055555556,9.19965277777778,0.0590277777777778,25.6614583333333,8.64930555555556,6.75347222222222,0,0,0.03125
"DE-RuS","CRO",6.4471,50.8659,"URB",0.637152777777778,0,0,1.97048611111111,29.9010416666667,0,0.00868055555555556,10.7847222222222,19.703125,7.79166666666667,0.350694444444444,15.390625,12.1510416666667,1.00694444444444,0,0,0.303819444444444
"DE-Seh","CRO",6.4497,50.8706,"CRO",0.637152777777778,0,0,1.97048611111111,29.9010416666667,0,0.00868055555555556,10.7847222222222,19.703125,7.79166666666667,0.350694444444444,15.390625,12.1510416666667,1.00694444444444,0,0,0.303819444444444
